uuid	raw_text	dom	text	class
38b8fafe-19f0-4003-ab7f-642f5a78a1dd	天猫精灵少油少盐的就行	1	少油少盐	0
1ecfbbb8-34c6-423e-b76b-5ff4719204f8	天猫精灵来点软和的	1	软和的	0
ed1fd9a6-9ea7-44ce-9866-40b38e4459d1	天猫精灵要少油少盐的	1	少油少盐	0
3f289b65-f6bd-466e-8b55-0e069d6b7184	适合老年人的菜	1	适合老年人的	0
70634922-032a-4c51-89d9-f2aa5e901ac0	有软乎点的菜吗	1	软乎点的	0
d4890528-23e1-4c9b-9cf3-33f460dd935a	好嚼的就行	1	好嚼的	0
949ed5fb-d5a2-4282-9884-00e755c3df5a	天猫精灵要个不油腻的	1	不油腻	0
ab8ed9d0-476a-45ff-8523-8873ee850dc4	天猫精灵来点不油腻的	1	不油腻	0
c0642eb2-e6db-4b14-b15e-ecb3cb091123	天猫精灵不要油腻的	1	不要油腻	0
0886a8c8-25fb-43a9-aaa9-ea7457abba5e	天猫精灵有没有不油腻的	1	不油腻	0
4d8dc17a-770c-404b-a47e-c560a4bd5e73	天猫精灵要个少调味的菜	1	少调味	0
163a3c69-37d9-4ccc-9421-dbaf44e2ebaa	别太咸了	1	别太咸了	0
82dde50b-2905-4e72-829b-68ae0b02306e	天猫精灵推荐好消化的	1	好消化的	0
7c462f62-a6fa-4909-b560-cc4f776389a3	天猫精灵请挑点好消化的	1	好消化的	0
79dc1fa8-1b06-40e2-b24d-6cdf5eb446e9	天猫精灵随便吃点清淡的	1	清淡的	0
fd664f15-2c0f-48cb-a788-ec820a63000f	要个不费牙的	1	不费牙的	0
039b322e-2bb4-4c6f-9a05-7148262faade	软和点心有没有	1	软和	0
9eab0ecb-1b9e-4cfd-8b04-896ad0f1a5ae	天猫精灵不要太咸的	1	不要太咸	0
44f8e72a-09e5-400e-a144-45db802b294c	天猫精灵要汤汤水水的	1	汤汤水水	0
999b11be-d9ed-405c-a507-b5ca43066f18	天猫精灵推荐点热乎的	1	热乎的	0
07005136-410e-413a-95ac-cda1937efb50	来点家常味道	1	家常味道	0
2a5d0b1f-5e08-4dc3-a1e9-81af0a0ab8b0	要个少盐少油的	1	少盐少油	0
1341f3d3-7933-4832-9079-8beb49832649	天猫精灵来点养胃的	1	养胃	0
8a5a9e1e-69d2-448e-b86d-e7a20fa78332	天猫精灵要煮得烂糊些	1	煮得烂糊	0
9584025f-ab7f-4050-a0e5-f43031714bcf	天猫精灵容易嚼的肉	1	容易嚼的	0
4e1c1207-2d53-4e96-aa5c-64ebdcfd911e	天猫精灵要容易嚼的	1	容易嚼的	0
30096717-444a-4474-93f9-3140fb185313	有没有热乎的	1	热乎的	0
13f1148b-b2c7-4e77-9ae1-a96e571c6d82	天猫精灵不要辣不要油腻	1	不要辣不要油腻	0
