uuid	pred_text	text	cer
ffe923ff-5286-4932-bdc8-7761c2b2f300	我想听王超然的求求爱情你放过我	我想听王超然的求求爱情你放过我	0.0
ffe976b2-2065-4cf2-a17e-8b10c0823895	天猫精灵来份山药玉米甜粥吧	天猫精灵来份山药玉米甜粥吧	0.0
ffe9db1e-c831-4875-a104-2f9766596e37	来碗红枣银耳养颜粥要热乎的	来碗红枣银耳养颜粥要热乎的	0.0
ffe9feae-fb4f-4984-87bd-b5650b0c7f2f	我想听阿肆的气球	我想听阿肆的气球	0.0
ffead5fb-3694-4bf0-8c7d-ee9e290ed92e	天猫精灵来碗养胃的小米粥吧	天猫精灵来碗养胃的小米粥吧	0.0
ffeccbe4-d409-4a66-bcef-e2712b1f84f0	天猫精灵二十四加六十等于几	天猫精灵二十四加六十等于几	0.0
ffef4600-200a-4c52-8e27-80c6eb4876d3	天猫精灵播放妹妹哭弟弟哭的声音	天猫精灵播放妹妹哭弟弟哭的声音	0.0
fff21325-04bf-4caa-a640-59fac3842aa7	天猫精灵来碗红豆紫米粥吧	天猫精灵来碗红豆紫米粥吧	0.0
fff2189c-f548-44b9-879e-bbf2ef29c750	天猫精灵播放周深的去蓝天	天猫精灵播放周深的去明天	0.0833
fff2d59b-f44e-46c8-ae92-0f07e1eb912e	天猫精灵我叫宝贝吃西兰花	天猫精灵我家宝贝吃西兰花来	0.1538
fff51e2a-0369-405b-9442-014159b48e3e	天猫精灵萝卜牛腩汤来一份	天猫精灵萝卜牛腩汤来一份	0.0
fff521e8-d130-40c8-8bb9-1708281b274f	天猫精灵播放一个罗布奥特曼的声音	天猫精灵播放一个罗布奥特曼的声音	0.0
fff53b12-3b53-44d8-bdc2-426646ce1fc9	天猫精灵我们家的宝贝聪明吗	天猫精灵我们家的宝贝聪明吗	0.0
fff5ad27-0121-41eb-8e3e-1a9b655161c6	天猫精灵来碗热乎的番茄蛋花汤	天猫精灵来碗热乎的番茄蛋花汤	0.0
fff6ec44-fd56-4a82-a996-5b004f77fbb8	天猫精灵要碗鸭血豆腐热汤	天猫精灵要碗鸭血豆腐热汤	0.0
fff88ff9-f0ea-44fe-a5e1-0ead681d4c13	天猫精灵来碗茄丝肉丝卤面吧	天猫精灵来碗茄丝肉丝卤面吧	0.0
fff960cf-fccf-4488-b340-79afb99906a4	天猫精灵要份蒜香油麦菜吧	天猫精灵要份蒜香油麦菜吧	0.0
fff97be7-0b1e-4899-bc9b-c507b56af28b	天猫精灵没有叫你不要出声气闭上你的臭嘴	天猫精灵没有叫你不要出声请闭上你的臭嘴	0.0526
fffa3dc6-4039-4dcd-8cb6-ea7bab5523d9	天猫精灵来碗南瓜红薯甜粥吧	天猫精灵来碗南瓜红薯甜粥吧	0.0
fffa8a11-6317-4511-aaf7-7245f43cf8e3	天猫精灵要个黄瓜虾仁小炒吧	天猫精灵要个黄瓜虾仁小炒吧	0.0
fffad168-2181-4a01-8a98-27ddccd765b3	天猫精灵我已经给你拿好一杯巧克力来了	天猫精灵我已经给你拿了一颗巧克力来了	0.1111
fffc9828-e87c-47f9-bdba-03b5df18bd9f	天猫精灵放一首毛不易的借	天猫精灵放一首毛不易的借	0.0
fffdf44f-4c64-4fe8-aa55-4c68cb05e1bf	来份暖心皮蛋瘦肉粥吧	来份暖心皮蛋瘦肉粥吧	0.0
fffed8a7-b525-4e59-a3b5-f7197a71ea36	天猫精灵一百加一百加一百加一百加一百加一百加一百加一百加一百加一百加	天猫精灵一百加一百加一百加一百加一百加一百加一百加一百加一百加一百	0.0303
